"aged","female","cond","aged365"
6765,0,"control",18.53424644
7715,1,"64",21.13698578
7630,0,"64",20.90410995
7543,0,"control",20.66575432
7849,0,"64",21.50411034
7581,1,"64",20.76986313
7534,1,"control",20.64109612
6678,1,"64",18.29589081
6970,0,"potato",19.09589005
7681,0,"64",21.04383469
7240,1,"control",19.83561707
6835,0,"potato",18.72602654
7847,0,"64",21.49863052
7859,0,"potato",21.53150749
13959,1,"64",38.24383545
7639,0,"control",20.92876625
7497,0,"potato",20.53972626
7012,1,"64",19.21095848
7579,1,"potato",20.76438332
7287,0,"potato",19.96438408
7670,0,"control",21.01369858
7823,1,"control",21.43287659
7874,0,"control",21.57260323
7163,0,"control",19.62465668
8016,0,"64",21.96164322
7791,1,"control",21.34520531
6746,1,"64",18.48219109
7417,1,"potato",20.3205471
6635,1,"potato",18.17808151
7515,1,"64",20.58904076
6722,1,"64",18.41643906
8060,1,"potato",22.08219147
6904,1,"control",18.91506767
7719,0,"potato",21.1479454
8033,0,"potato",22.00821877
7695,0,"potato",21.08219147
8026,0,"control",21.98904037
7817,1,"64",21.41643906
7665,0,"potato",21
8002,1,"potato",21.92328835
7373,1,"potato",20.20000076
7770,1,"potato",21.28767204
7576,0,"potato",20.75616455
7513,0,"control",20.58356094
